cici_rank,country,iso3,cici_score,F1_institutional,F2_macro,F3_openness,F4_energy,F5_security,F6_human_capital,F7_financial
1,UAE,ARE,84.16,84.96669244598665,72.919974457741,100.0,100.0,63.855717051871046,91.83408684945331,50.97532398595737
2,Qatar,QAT,72.02,81.82980024877563,82.40953334625466,52.239604325216845,100.0,65.29070848742283,99.58960754649718,20.741521849148416
3,Bahrain,BHR,71.17,66.01580568808258,63.923862974632904,86.80387532178527,100.0,54.4553647513715,84.11880665548867,11.556467464993656
4,Oman,OMN,66.79,74.39903778843335,59.60080664346457,61.02336840046587,100.0,62.430178591810005,65.0877000180246,7.976188525096463
5,Kuwait,KWT,64.09,68.4326489387195,61.18647333605767,49.75919510067806,100.0,59.48699293061725,74.69231956665121,23.5741172516733
6,Saudi Arabia,SAU,61.17,68.32512323186664,65.51902138189813,24.917567767839685,100.0,56.46602599642881,79.35073630003528,58.74877143189696
7,Israel,ISR,60.28,82.71955363458139,72.03614411848258,24.781539432746232,100.0,47.72978670996813,59.993788891191315,16.342091553974168
8,Jordan,JOR,60.24,64.36390249035138,53.73818635501012,51.91907584596511,100.0,53.79924865124735,52.47204891349528,12.453175934692531
9,Morocco,MAR,58.25,54.37273086881288,54.568343231197154,47.423577055409964,100.0,52.99893029411578,21.05589578750863,48.42253847494035
10,Tunisia,TUN,56.61,50.37346543241938,51.73614300092359,55.89069302249706,100.0,48.7248377683328,23.529039758568658,23.40512736757509
11,Lebanon,LBN,52.07,29.983791700038054,67.51070002865214,54.635360140066126,100.0,44.61988468649539,19.771027327967506,12.199421170403742
12,Algeria,DZA,44.45,42.96883670920596,54.47474152165973,16.19074564940126,100.0,50.76669789579301,15.646690698263132,0.0336426093026359
13,Libya,LBY,43.8,13.72714642207039,53.98878649861083,69.40180071131292,61.817922781022936,40.14464412434248,28.59561325860319,
14,Iraq,IRQ,43.54,24.13396914286429,52.8751157758846,34.535969207726694,100.0,38.662898048067554,16.36658153729681,
15,Egypt,EGY,42.54,38.52614973737408,47.34748080419291,15.87043982651733,100.0,48.25588761559146,21.9070072351763,2.907734831612419
16,Iran,IRN,40.31,23.30034277274947,48.03609387801877,23.34756123056286,100.0,42.92878351684462,15.838054085854358,9.628624116161877
17,Yemen,YEM,28.91,5.02125230324233,28.417324926903454,25.757071277787208,76.63484826898419,33.333333333333336,1.110363275142466,
18,Syria,SYR,27.65,4.109192273186342,28.64670588210406,13.475575176453647,83.47342926342785,35.98024613707668,8.043185431304822,
19,Sudan,SDN,18.8,7.633560858415109,13.552123534421522,0.0,51.56005128935745,39.01556964402903,9.016404945340245,
